,PRCP,TMAX,TMIN,yr,mo,dy,warmth,wetness
1,0,66.02,50,1941,5,13,Warm,Dry
2,0,62.96,46.94,1941,5,14,Warm,Dry
3,0.299212598,57.92,44.06,1941,5,15,Cold,Really Wet
4,1.078740157,55.04,44.96,1941,5,16,Cold,Really Wet
5,0.059055118,57.02,46.04,1941,5,17,Cold,Damp
6,0,59,39.02,1941,5,18,Cold,Dry
7,0,57.92,39.92,1941,5,19,Cold,Dry
8,0,64.94,50,1941,5,20,Warm,Dry
9,0,68,42.08,1941,5,21,Warm,Dry
10,0,84.92,46.04,1941,5,22,Warm,Dry
11,0,84.02,46.04,1941,5,23,Warm,Dry
12,0,75.02,50,1941,5,24,Warm,Dry
13,0,71.96,41,1941,5,25,Warm,Dry
14,0.011811024,59,37.04,1941,5,26,Cold,Damp
15,0.338582677,60.98,48.02,1941,5,27,Warm,Really Wet
16,0.098425197,59,46.04,1941,5,28,Cold,Damp
17,0.019685039,69.08,42.98,1941,5,29,Warm,Damp
18,0.019685039,73.04,39.92,1941,5,30,Warm,Damp
19,0.181102362,62.06,50,1941,5,31,Warm,Really Wet
20,0.011811024,64.94,48.02,1941,6,1,Warm,Damp
21,0,71.96,39.92,1941,6,2,Warm,Dry
22,0,71.06,39.92,1941,6,3,Warm,Dry
23,0,73.94,39.92,1941,6,4,Warm,Dry
24,0.169291339,69.08,46.04,1941,6,5,Warm,Really Wet
25,0.098425197,64.94,51.08,1941,6,6,Warm,Damp
26,0,68,44.96,1941,6,7,Warm,Dry
27,0.039370079,64.04,42.98,1941,6,8,Warm,Damp
28,0,71.06,50,1941,6,9,Warm,Dry
29,0,78.98,44.06,1941,6,10,Warm,Dry
30,0,93.92,48.92,1941,6,11,Warm,Dry
31,0,75.02,57.92,1941,6,12,Warm,Dry
32,0,69.98,44.96,1941,6,13,Warm,Dry
33,0,69.98,41,1941,6,14,Warm,Dry
34,0,69.08,48.02,1941,6,15,Warm,Dry
35,0.019685039,71.96,48.02,1941,6,16,Warm,Damp
36,0.228346457,68,48.92,1941,6,17,Warm,Really Wet
37,0.24015748,64.04,51.08,1941,6,18,Warm,Really Wet
38,0.059055118,62.96,44.06,1941,6,19,Warm,Damp
39,0,71.96,44.96,1941,6,20,Warm,Dry
40,0,71.06,46.04,1941,6,21,Warm,Dry
41,0.059055118,71.06,51.98,1941,6,22,Warm,Damp
42,0,75.02,46.04,1941,6,23,Warm,Dry
43,0,75.02,44.96,1941,6,24,Warm,Dry
44,0,73.94,51.08,1941,6,25,Warm,Dry
45,0,75.92,44.06,1941,6,26,Warm,Dry
46,0,73.94,48.02,1941,6,27,Warm,Dry
47,0,69.98,48.02,1941,6,28,Warm,Dry
48,0,69.08,53.96,1941,6,29,Warm,Dry
49,0,75.02,46.94,1941,6,30,Warm,Dry
50,0,80.06,50,1941,7,1,Warm,Dry
51,0,78.08,48.02,1941,7,2,Warm,Dry
52,0,77,50,1941,7,3,Warm,Dry
53,0,78.98,51.08,1941,7,4,Warm,Dry
54,0,82.94,55.94,1941,7,5,Warm,Dry
55,0,84.02,51.98,1941,7,6,Warm,Dry
56,0,80.06,53.96,1941,7,7,Warm,Dry
57,0,78.98,48.02,1941,7,8,Warm,Dry
58,0,80.06,44.96,1941,7,9,Warm,Dry
59,0,80.06,44.96,1941,7,10,Warm,Dry
60,0,78.08,42.98,1941,7,11,Warm,Dry
61,0,82.04,44.06,1941,7,12,Warm,Dry
62,0,91.04,51.08,1941,7,13,Warm,Dry
63,0,98.06,55.94,1941,7,14,Warm,Dry
64,0,102.92,59,1941,7,15,Warm,Dry
65,0,102.92,62.06,1941,7,16,Warm,Dry
66,0,100.04,64.94,1941,7,17,Warm,Dry
67,0.299212598,96.08,60.98,1941,7,18,Warm,Really Wet
68,0,80.06,60.08,1941,7,19,Warm,Dry
69,0,82.04,55.94,1941,7,20,Warm,Dry
70,0,77,55.94,1941,7,21,Warm,Dry
71,0,71.96,48.02,1941,7,22,Warm,Dry
72,0.031496063,75.92,46.94,1941,7,23,Warm,Damp
73,0,75.02,51.98,1941,7,24,Warm,Dry
74,0,82.94,50,1941,7,25,Warm,Dry
75,0,84.92,48.02,1941,7,26,Warm,Dry
76,0,75.02,48.92,1941,7,27,Warm,Dry
77,0,68,51.98,1941,7,28,Warm,Dry
78,0,80.06,50,1941,7,29,Warm,Dry
79,0,82.04,44.96,1941,7,30,Warm,Dry
80,0,71.96,41,1941,7,31,Warm,Dry
81,0,69.98,44.06,1941,8,1,Warm,Dry
82,0.051181102,66.02,51.98,1941,8,2,Warm,Damp
83,0.511811024,64.04,53.96,1941,8,3,Warm,Really Wet
84,0.019685039,75.92,51.08,1941,8,4,Warm,Damp
85,0,78.08,46.04,1941,8,5,Warm,Dry
86,0,84.02,44.96,1941,8,6,Warm,Dry
87,0,89.96,50,1941,8,7,Warm,Dry
88,0,89.96,51.08,1941,8,8,Warm,Dry
89,0,82.04,55.04,1941,8,9,Warm,Dry
90,0,82.94,48.02,1941,8,10,Warm,Dry
91,0,64.94,51.08,1941,8,11,Warm,Dry
92,0,69.98,55.04,1941,8,12,Warm,Dry
93,0,80.06,48.02,1941,8,13,Warm,Dry
94,0,80.96,48.92,1941,8,14,Warm,Dry
95,0,82.04,50,1941,8,15,Warm,Dry
96,0,80.06,51.98,1941,8,16,Warm,Dry
97,0,86,48.02,1941,8,17,Warm,Dry
98,0,93.02,51.08,1941,8,18,Warm,Dry
99,0,91.04,55.04,1941,8,19,Warm,Dry
100,0,78.08,51.08,1941,8,20,Warm,Dry
101,0,71.06,53.96,1941,8,21,Warm,Dry
102,0,71.06,51.08,1941,8,22,Warm,Dry
103,0.429133858,73.94,53.06,1941,8,23,Warm,Really Wet
104,0.051181102,73.94,46.04,1941,8,24,Warm,Damp
105,0.429133858,60.08,53.96,1941,8,25,Cold,Really Wet
106,0.118110236,69.08,46.04,1941,8,26,Warm,Damp
107,0.429133858,62.06,48.02,1941,8,27,Warm,Really Wet
108,0.011811024,69.98,51.08,1941,8,28,Warm,Damp
109,0,73.04,48.02,1941,8,29,Warm,Dry
110,0.090551181,62.96,53.06,1941,8,30,Warm,Damp
111,0.350393701,62.06,55.94,1941,8,31,Warm,Really Wet
112,0.511811024,60.98,55.04,1941,9,1,Warm,Really Wet
113,0.838582677,69.98,55.04,1941,9,2,Warm,Really Wet
114,0.358267717,60.08,53.06,1941,9,3,Cold,Really Wet
115,0.098425197,66.02,57.02,1941,9,4,Warm,Damp
116,0,71.06,57.92,1941,9,5,Warm,Dry
117,0,69.98,48.02,1941,9,6,Warm,Dry
118,0,71.06,42.08,1941,9,7,Warm,Dry
119,0,73.94,42.08,1941,9,8,Warm,Dry
120,0.279527559,60.08,53.96,1941,9,9,Cold,Really Wet
121,0.62992126,60.08,50,1941,9,10,Cold,Really Wet
122,0.011811024,66.02,44.06,1941,9,11,Warm,Damp
123,0,69.08,50,1941,9,12,Warm,Dry
124,0.039370079,66.92,51.08,1941,9,13,Warm,Damp
125,0.031496063,64.04,51.08,1941,9,14,Warm,Damp
126,0.039370079,64.94,48.92,1941,9,15,Warm,Damp
127,0.24015748,62.96,50,1941,9,16,Warm,Really Wet
128,0.181102362,60.98,44.96,1941,9,17,Warm,Really Wet
129,0.098425197,62.96,42.08,1941,9,18,Warm,Damp
130,0.511811024,60.08,44.06,1941,9,19,Cold,Really Wet
131,0,66.92,35.96,1941,9,20,Warm,Dry
